salary,city,company_link,name,person,page_id,company,work,experience,company_field,tag,company_finance,address,date,homepage,company_hope,company_size
[10-18k],上海市广中西路777号4号2幢上禾中心3楼,www.neitui.me/company/detail/domain=weidu51.com.html,上海美云信息科技有限公司,Jack,445248,公司：上海美云信息科技有限公司开发部 ,Android开发工程师,[1-3年经验],移动互联网,"岗位晋升,美女多,年终分红,股票期权",天使轮 200万,地点：上海市广中西路777号4号2幢上禾中心3楼,02月15日,http://weidu51.com, 未来的商务社交领域的独角兽,15人以下
[15-25k],上海,www.neitui.me/company/detail/domain=vipshop.com.html,唯品会,Jane,437990,公司：唯品会支付业务部 ,性能测试工程师,[3-5年经验],电子商务,"无息购房贷款,美女是真真的多,美国上市,大数据多挑战",已上市 ,地点：上海闸北区西藏北路18号四行天地,02月15日,http://vip.com, 致力于发展为全国乃至全球专业的电商特卖网站,1000以上
[6-9k],上海市浦东新区祖冲之路天之骄子B座1107室,www.neitui.me/company/detail/domain=ivf-bb.com.html,上海祈贝健康管理咨询有限公司,L3113,445219,公司：上海祈贝健康管理咨询有限公司市场部 ,产品UI设计,[3-5年经验],移动互联网,"交通补贴,五险一金,扁平管理,出国旅游机会",A轮 ,地点：上海市浦东新区祖冲之路2305号,02月15日,http://www.ivf-bb.com,,15-50人
[9-16k],北京、上海、武汉、西安等,www.neitui.me/company/detail/domain=beyondsoft.com.html,博彦科技,尹坤,443583,公司：博彦科技微软事业部 ,Android开发工程师,[3-5年经验],移动互联网,天空是你的极限,已上市 ,地点：苏州工业园区星湖街328号创意产业园B区7栋,02月15日,http://www.beyondsoft.com, 快乐生活 快乐工作 超越期待 尽善尽美,1000以上
[8-16k],北京、上海、武汉、西安等,www.neitui.me/company/detail/domain=beyondsoft.com.html,博彦科技,尹坤,444719,公司：博彦科技微软事业部 ,C#开发工程师,[1-3年经验],移动互联网,天空是你的极限,已上市 ,地点：北京海淀区西北旺东路10号院7号楼(博彦科技大厦),02月15日,http://www.beyondsoft.com, 快乐生活 快乐工作 超越期待 尽善尽美,1000以上
[8-15k],北京、上海、武汉、西安等,www.neitui.me/company/detail/domain=beyondsoft.com.html,博彦科技,尹坤,444722,公司：博彦科技微软事业部 ,web前端开发,[1-3年经验],移动互联网,天空是你的极限,已上市 ,地点：北京市海淀区丹棱街5号微软大厦,02月15日,http://www.beyondsoft.com, 快乐生活 快乐工作 超越期待 尽善尽美,1000以上
[15-30k],北京、上海、武汉、西安等,www.neitui.me/company/detail/domain=beyondsoft.com.html,博彦科技,尹坤,431303,公司：博彦科技微软事业部 ,数据挖掘（senior）,[3-5年经验],移动互联网,天空是你的极限,已上市 ,地点：北京海淀区西北旺东路10号院7号楼(博彦科技大厦),02月15日,http://www.beyondsoft.com, 快乐生活 快乐工作 超越期待 尽善尽美,1000以上
[20-50k],北京、上海、武汉、西安等,www.neitui.me/company/detail/domain=beyondsoft.com.html,博彦科技,尹坤,444721,公司：博彦科技微软事业部 ,高级项目经理-深圳,[5-10年经验],移动互联网,天空是你的极限,已上市 ,地点：深圳-技术开发区,02月15日,http://www.beyondsoft.com, 快乐生活 快乐工作 超越期待 尽善尽美,1000以上
[5-10k],上海市黄浦区,www.neitui.me/company/detail/domain=madhouse-inc.com.html,亿动传媒,亿动广告传媒（Madhouse）,445206,公司：亿动广告传媒（Madhouse） ,移动网络营销经理/主管,[3-5年经验],广告营销,"13薪,五险一金,2次bonus,补充商业险",D轮 ,地点：广州市越秀区寺右新马路111-115号2107、2109室,02月15日,http://www, 123,100-500人
[5-8k],广州市海珠区,www.neitui.me/company/detail/domain=edachi.com.html,你好旅行,淡颜,445207,公司：广州大驰广告有限公司 ,销售,[1-3年经验],旅游户外,"节日礼金,五险,带薪年假,双休",未融资 ,地点：广州市海珠区新港中路456号纵横广场,02月15日,http://www.helloxtrip.com,,15-50人
[15-30k],北京朝阳区望京,www.neitui.me/company/detail/domain=mychoice.top.html,嘀嗒拼车,Alan,414249,公司：嘀嗒拼车技术部 ,php,[3-5年经验],移动互联网,"高薪,高福利",C轮 1亿美元,地点：北京市朝阳区望京SOHO,02月15日,http://www.didapinche.com, 上市,100-500人
[6-9k],上海杨浦区锦建路99号 腾讯众创空间7楼,www.neitui.me/company/detail/domain=wangcaicat.com.html,上海融果金融信息服务有限公司,唐小姐,386814,公司：上海融果金融信息服务有限公司产品部 ,产品经理,[1-3年经验],移动互联网,"员工福利,发展前景大,岗位晋升",天使轮 ,地点：上海市杨浦区政立路150号江湾体育场3号入口环廊183室,02月15日,http://www.wangcaicat.com, 让更好的金融服务以更加便捷的方式进入千家万户,15-50人
[8-16k],深圳分公司,www.neitui.me/company/detail/domain=isoftstone.com.html,软通动力,祝勇,443499,公司：软通动力技术服务有限公司杭州分公司 ,硬件测试,[1-3年经验],企业服务,"入职购买五险一,定期活动,加班工资,华为合资公司",已上市 ,地点：杭州市滨江区滨兴路301号慧港科技园A1幢5楼,02月15日,http://www.isoftstone.com, 智慧城市与产业互联网建设的领导者，创新型技术服务提供商。,1000以上
[15-18k],浙江杭州,www.neitui.me/company/detail/domain=alibaba-inc.com.html,阿里巴巴,"美娜,Grace",445236,公司：阿里巴巴国际业务部 ,高级Java开发工程师,[1-3年经验],电子商务,"一起改变世界吧,平台广阔,各种福利全都有,免费三餐下午茶",已上市 ,地点：广州市天河区黄埔大道西平云路163号广电平云广场B塔,02月15日,http://www.alibaba.com, 做一家102年的企业,1000以上
[15-30k],北京朝阳区望京,www.neitui.me/company/detail/domain=mychoice.top.html,嘀嗒拼车,Alan,414254,公司：嘀嗒拼车技术部 ,前端（js/H5）,[3-5年经验],移动互联网,"高薪,高福利",C轮 1亿美元,地点：北京市朝阳区望京SOHO,02月15日,http://www.didapinche.com, 上市,100-500人
[8-20k],北京市东城区东四十条甲22号南新仓商务大厦B座6层625,www.neitui.me/company/detail/domain=keegoo.com.html,坚果（北京）科技有限公司,sweet,422967,公司：坚果（北京）科技有限公司商务部 ,业务经理,[1-3年经验],移动互联网,"暖心零食,环境优雅,年终奖金,生日会",A轮 ,地点：北京市东城区东四十条甲22号南新仓商务大厦B座6层625,02月15日,http://www.keegoo.com, 业内第一,50-100人
